t,delta_theta
18.720000,0.000458
18.760000,0.000473
18.800000,0.000488
18.840000,0.000503
18.880000,0.000519
18.920000,0.000536
18.960000,0.000552
19.000000,0.000570
19.040000,0.000588
19.080000,0.000607
19.120000,0.000626
19.160000,0.000646
19.200000,0.000666
19.240000,0.000687
19.280000,0.000709
19.320000,0.000731
19.360000,0.000754
19.400000,0.000778
19.440000,0.000803
19.480000,0.000828
19.520000,0.000854
19.560000,0.000881
19.600000,0.000909
19.640000,0.000938
19.680000,0.000967
19.720000,0.000998
19.760000,0.001029
19.800000,0.001062
19.840000,0.001095
19.880000,0.001129
19.920000,0.001165
19.960000,0.001201
20.000000,0.001239
20.040000,0.001277
20.080000,0.001317
20.120000,0.001358
20.160000,0.001401
20.200000,0.001445
20.240000,0.001490
20.280000,0.001536
20.320000,0.001584
20.360000,0.001633
20.400000,0.001684
20.440000,0.001737
20.480000,0.001791
20.520000,0.001847
20.560000,0.001905
20.600000,0.001964
20.640000,0.002026
20.680000,0.002089
20.720000,0.002155
20.760000,0.002222
20.800000,0.002292
20.840000,0.002364
20.880000,0.002438
20.920000,0.002515
20.960000,0.002594
21.000000,0.002675
21.040000,0.002760
21.080000,0.002847
21.120000,0.002936
21.160000,0.003029
21.200000,0.003124
21.240000,0.003222
21.280000,0.003324
21.320000,0.003428
21.360000,0.003535
21.400000,0.003646
21.440000,0.003759
21.480000,0.003875
21.520000,0.003995
21.560000,0.004117
21.600000,0.004242
21.640000,0.004370
21.680000,0.004501
21.720000,0.004634
21.760000,0.004769
21.800000,0.004906
21.840000,0.005045
21.880000,0.005185
21.920000,0.005326
21.960000,0.005467
22.000000,0.005609
22.040000,0.005750
22.080000,0.005890
22.120000,0.006028
22.160000,0.006164
22.200000,0.006297
22.240000,0.006426
22.280000,0.006551
22.320000,0.006670
22.360000,0.006783
22.400000,0.006890
22.440000,0.006988
22.480000,0.007079
22.520000,0.007160
22.560000,0.007231
22.600000,0.007292
22.640000,0.007343
22.680000,0.007382
22.720000,0.007410
22.760000,0.007426
22.800000,0.007431
22.840000,0.007424
22.880000,0.007405
22.920000,0.007375
22.960000,0.007334
23.000000,0.007282
23.040000,0.007220
23.080000,0.007149
23.120000,0.007069
23.160000,0.006981
23.200000,0.006885
23.240000,0.006783
23.280000,0.006675
23.320000,0.006562
23.360000,0.006445
23.400000,0.006324
23.440000,0.006201
23.480000,0.006075
23.520000,0.005948
23.560000,0.005820
23.600000,0.005691
23.640000,0.005563
23.680000,0.005436
23.720000,0.005309
23.760000,0.005185
23.800000,0.005062
23.840000,0.004941
23.880000,0.004822
23.920000,0.004707
23.960000,0.004593
24.000000,0.004483
24.040000,0.004376
24.080000,0.004272
24.120000,0.004171
24.160000,0.004073
24.200000,0.003978
24.240000,0.003887
24.280000,0.003799
24.320000,0.003713
24.360000,0.003631
24.400000,0.003552
24.440000,0.003476
24.480000,0.003402
24.520000,0.003331
24.560000,0.003262
24.600000,0.003196
24.640000,0.003133
24.680000,0.003071
24.720000,0.003011
24.760000,0.002953
24.800000,0.002897
24.840000,0.002843
24.880000,0.002789
24.920000,0.002737
24.960000,0.002686
25.000000,0.002636
25.040000,0.002587
25.080000,0.002538
25.120000,0.002489
25.160000,0.002441
25.200000,0.002392
25.240000,0.002344
25.280000,0.002295
25.320000,0.002245
25.360000,0.002195
25.400000,0.002145
25.440000,0.002093
25.480000,0.002041
25.520000,0.001987
25.560000,0.001933
25.600000,0.001877
25.640000,0.001820
25.680000,0.001762
25.720000,0.001702
25.760000,0.001641
25.800000,0.001579
25.840000,0.001516
25.880000,0.001452
25.920000,0.001387
25.960000,0.001321
26.000000,0.001254
26.040000,0.001186
26.080000,0.001118
26.120000,0.001050
26.160000,0.000981
26.200000,0.000912
26.240000,0.000844
26.280000,0.000775
26.320000,0.000707
26.360000,0.000640
26.400000,0.000573
26.440000,0.000506
26.480000,0.000441
26.520000,0.000376
26.560000,0.000313
26.600000,0.000250
26.640000,0.000189
26.680000,0.000129
26.720000,0.000070
26.760000,0.000012
26.800000,0.000045
26.840000,0.000101
26.880000,0.000155
26.920000,0.000209
26.960000,0.000261
27.000000,0.000313
27.040000,0.000364
27.080000,0.000413
27.120000,0.000463
27.160000,0.000511
27.200000,0.000559
27.240000,0.000606
27.280000,0.000653
27.320000,0.000700
27.360000,0.000746
27.400000,0.000793
27.440000,0.000839
27.480000,0.000885
27.520000,0.000932
27.560000,0.000979
27.600000,0.001026
