theta,omega
2.2687674225,-1.2607097213
3.0536179941,-0.6001230345
2.8984141185,-0.9641001173
3.0626367430,-0.9061049647
2.4332083151,-1.0445614036
3.1052435473,-0.8457581151
2.3012795332,-1.2471423994
3.0831639852,-0.5766455110
3.0366952006,-0.8427514898
2.2796167502,-1.1713955788
3.1077920697,-0.5586464927
3.1011940418,-0.8489204418
2.2358027470,-1.2736652776
3.0243630413,-0.6238116400
2.4571006108,-1.0945757690
3.0785873517,-0.8501299449
2.1650702045,-1.2810514626
2.9743188188,-0.6634732977
2.5791353268,-1.1222453849
2.6525157893,-0.7642778869
3.0823596560,-0.8528580572
2.1554716723,-1.2826362694
2.9758787021,-0.6640184159
2.5658104392,-1.1243440798
3.0417317876,-0.8488605137
2.2615237517,-1.1825975872
3.0967110193,-0.5710751375
3.1374779652,-0.7195799318
2.6162646302,-1.0771405231
2.6707271378,-0.7549308548
2.4752489753,-1.1301795848
3.0648254869,-0.8513268234
2.1828476323,-1.2469525243
3.0121332708,-0.6344841072
2.7119268711,-1.0420607443
2.5882012844,-1.0914112265
3.0827602845,-0.8500245823
2.1627069094,-1.2885240832
2.9698208255,-0.6647227012
2.4995871248,-1.1572229867
3.0732413255,-0.8506917736
2.1716775156,-1.2698199001
2.9842274627,-0.6558979862
3.0447084365,-0.9260706635
2.6535625082,-0.8747570641
2.3680984884,-0.9783014804
3.0662212017,-0.8518691544
2.1845739135,-1.2468739314
3.0128694453,-0.6349858202
2.5413470147,-1.0188529133
3.0581016635,-0.8531816942
2.2193998881,-1.2214729700
3.0408405505,-0.6107668549
3.1098678016,-0.8497595892
2.2782646367,-1.2550571777
3.0705179363,-0.5905200244
2.9442504183,-0.5450048435
2.6515295396,-0.7678351057
3.0475577279,-0.9097477568
2.5351403362,-0.9639759235
2.5328534603,-1.0210016657
3.0437272937,-0.8526209852
2.2864686205,-1.1604456577
3.1261079980,-0.5464057115
2.4389962347,-1.1322162686
3.0317551191,-0.8409863922
2.2828165079,-1.1660613747
3.1139957662,-0.5513754910
3.0861741380,-0.8515770820
2.1677552211,-1.2878220562
2.9724233971,-0.6653793930
2.5042416323,-1.1570981164
3.0768700285,-0.8520887120
2.1634423379,-1.2716495121
2.9861280950,-0.6571111627
2.9979791971,-0.9389572951
2.9406602620,-0.6562357980
2.2027637023,-1.2828881650
3.0058453695,-0.6412760125
2.8629868862,-0.9794782702
2.3468199741,-0.9944375345
3.0380532222,-0.8430874820
2.2794817857,-1.1669616019
3.1175468409,-0.5538685521
2.4576446261,-1.0903397692
3.0894712301,-0.8475508832
2.1828828115,-1.2888769135
2.9825057763,-0.6549933613
3.0753614824,-0.9127755380
2.3799346789,-1.0846502287
3.0408146242,-0.8261883986
2.2068682417,-1.2286708589
3.0362216728,-0.6182619677
3.1017353529,-0.8905621771
2.1771038274,-1.2614926384
2.9923192454,-0.6487204533
2.9178793543,-0.5622851032
3.0674189688,-0.8520994894
2.1790538362,-1.2573797128
2.9961923693,-0.6444189445
2.7034965910,-1.0437241741
3.0337283269,-0.8491302382
2.3137588226,-1.1422031643
3.1237953677,-0.8432206508
2.6681424241,-1.0803430290
2.4644236331,-0.9037145975
3.0803051961,-0.8523280478
2.1537149133,-1.2818228474
2.9755768265,-0.6631240432
2.6035802749,-1.1115062000
3.0746575845,-0.8522613238
2.1696698265,-1.2712582281
2.9824149215,-0.6567430388
2.9680009903,-0.9539026853
3.1192855746,-0.5185155268
2.5845973070,-0.9754260276
2.5199552602,-1.0334264987
3.1409128528,-0.7234866513
2.8383867444,-0.7692963506
2.9826012455,-0.6246376231
2.5224080713,-1.0285750218
3.0521791839,-0.8014835286
2.1696080345,-1.2906127526
2.9810176108,-0.6594659707
2.8069592660,-1.0147399782
2.5237977023,-1.0336381529
2.3590152233,-0.9840893103
3.0509204374,-0.8504031739
2.2337917911,-1.2019473605
3.0692863439,-0.5894952847
2.6815605009,-0.7443514940
3.0767046852,-0.8516458768
2.1643840068,-1.2776958616
2.9760133279,-0.6609963606
2.6855435887,-1.0726576011
2.5473453457,-1.0094015590
2.5805600753,-0.8210784632
2.8698274692,-0.7454753196
2.7538901864,-0.8011196692
2.4462351400,-1.1312688744
3.0374490050,-0.8430709520
2.2789814492,-1.1667053658
3.1176235242,-0.5532214813
3.1311874861,-0.8428160515
2.9042191908,-0.9779123533
2.7450907832,-0.6960416508
3.0792784684,-0.5533393121
3.0188377493,-0.9186902130
2.7508221436,-0.8025564918
3.0309056749,-0.8378457357
2.2862579562,-1.1600810465
3.1264002702,-0.5456757210
2.5744224702,-1.0943958136
3.0308997248,-0.8451652872
2.3114152833,-1.1386298572
3.0314523403,-0.8377708768
2.2837238445,-1.1677815492
3.1126389949,-0.5546066296
3.1174409576,-0.8451229821
2.4936253699,-1.1605624958
3.0595563270,-0.8512124489
2.2004309747,-1.2306452916
3.0321262737,-0.6186752448
2.4411599894,-1.1318361406
3.0335369750,-0.8416037601
2.2852385990,-1.1657732880
3.1150767638,-0.5520161750
3.1180974361,-0.8480721318
2.4064971292,-1.1984487387
3.1385325827,-0.7190367859
2.6480492406,-0.7688758012
2.4578600322,-1.0912121240
3.0873435906,-0.8482512939
2.1741080669,-1.2899556845
2.9760674590,-0.6606832847
2.7016012059,-1.0650375867
2.9778961909,-0.9343389819
3.0161607166,-0.6001943290
2.7597454845,-0.8360940925
3.0915557639,-0.7648417757
3.1174179031,-0.8478061192
2.4037657803,-1.1993781815
3.0417506400,-0.8115546691
2.1693695023,-1.2722188943
2.9816853458,-0.6574346892
2.9204589238,-0.9726522127
2.7501047758,-0.8393840604
3.0733853936,-0.7798993773
2.6317989868,-1.0937265757
2.4394920670,-1.1170499613
3.0379048630,-0.8461023658
2.2802835830,-1.1694560796
3.1098737890,-0.5557931837
2.5409162260,-0.8476138508
2.5751048052,-1.0940363231
3.0331182906,-0.8478258275
2.3105427120,-1.1391722402
3.0325286211,-0.8425783069
2.2979536763,-1.1561099348
3.1286539217,-0.5419502900
2.4441975446,-1.1083917870
3.0475353172,-0.8492064429
2.2441945735,-1.1987712162
3.0699686264,-0.5866938885
2.7237571890,-1.0354181134
2.4424452689,-1.1130426890
3.0422988547,-0.8480567128
2.2691984559,-1.1790330252
3.0969969020,-0.5663386268
2.7825765883,-0.6676505842
2.8417628021,-0.7282448391
2.8036055888,-0.7605051609
3.0792154995,-0.5474292211
2.3722035047,-0.9720237158
3.0851519159,-0.8483987621
2.1688241096,-1.2898515240
2.9727916754,-0.6631044111
2.5775456044,-1.1216449518
2.5728160503,-0.9910471558
3.0274748053,-0.8427955088
2.3189062458,-1.1380778129
3.0309033169,-0.8426438136
2.2961134186,-1.1556527096
3.1285012163,-0.5403260723
2.4545301651,-1.1330918595
3.0493397298,-0.8506444889
2.2565731057,-1.1860575309
3.0917923399,-0.5744009139
2.5354443074,-0.8548774324
3.0772995033,-0.8533353533
2.1605414777,-1.2728376038
2.9841192612,-0.6574538341
2.9471504617,-0.9572932960
3.1226257914,-0.7318278163
3.0327597098,-0.8354538202
2.2740520421,-1.1713590147
3.1115469593,-0.5585478743
2.5084060576,-1.1190792175
2.5621760267,-0.8354272369
2.6421438750,-0.9296692355
2.7844498553,-0.6686274761
2.8469874121,-0.7258662225
2.7782346413,-0.7817007658
3.0527138143,-0.8061732544
2.1621543594,-1.2900270604
2.9760604262,-0.6647626796
2.5452960172,-1.1344869754
3.1276605866,-0.4022811706
3.1069156834,-0.7500939568
3.1128700254,-0.8475730359
2.3632649351,-1.2214059417
3.1390209014,-0.5348893424
2.8217687837,-0.9960612305
2.8613305273,-0.9793955221
2.6612751542,-0.7598217240
3.0405436678,-0.8197713853
2.1862000377,-1.2467644535
3.0136167372,-0.6353278802
2.3782570474,-0.9670652126
3.1040328167,-0.8458391939
2.2885715704,-1.2523734474
3.0717398795,-0.5854435545
3.0629846051,-0.9040438437
2.4178582153,-1.0614990841
3.0531963320,-0.8514152553
2.2393760810,-1.1999065292
3.0731105021,-0.5886926266
2.5149321606,-1.1170185078
2.7153322287,-1.0412028994
2.4625497204,-1.0921820780
3.0875696919,-0.8507847950
2.1590842928,-1.2894827155
2.9744970874,-0.6656808801
2.5027751542,-1.1540183833
3.0877210049,-0.8479220726
2.1760143798,-1.2898712779
2.9774891256,-0.6591528390
2.7839131945,-1.0281801147
2.6818445516,-0.8966930598
2.6054310409,-1.0847751280
3.0643616744,-0.7887657400
2.3344703874,-1.2303680431
3.1226217302,-0.5488078589
2.9034980064,-0.5745745242
2.6088298204,-1.1037126169
3.1385364363,-0.7255348217
2.5328933079,-1.0249514286
3.0282354763,-0.8315678093
2.2663501584,-1.1804687173
3.0946820222,-0.5673447923
3.0325072262,-0.4737941400
3.0492386187,-0.8097403713
2.1595008427,-1.2828636502
2.9775736476,-0.6648042048
2.5574150655,-1.1298983762
3.0428015969,-0.8085038026
2.1639132265,-1.2800002000
2.9744717255,-0.6623763678
2.6176998045,-1.1037179777
3.0709635994,-0.7824407435
2.5276237063,-1.1421146734
2.4725255987,-1.0784202202
3.1368563039,-0.8420430937
3.0880787204,-0.9112449597
2.3158866103,-1.1379268716
3.0347854554,-0.8390414937
2.2767800691,-1.1687380721
3.1149514042,-0.5555284173
3.0273013887,-0.8433730361
2.3193264261,-1.1371976724
3.0289805713,-0.8323905662
2.2599351435,-1.1845091183
3.0886796409,-0.5709857795
2.4858571282,-1.1270766868
3.0889649967,-0.8489989202
2.1765050726,-1.2896148941
2.9772746587,-0.6610948638
2.6996860797,-1.0670561395
2.4419769343,-1.1200989681
3.0385695695,-0.8455881942
2.2774814501,-1.1667011477
3.1171238063,-0.5525349504
3.0344570762,-0.8477766334
2.3182150484,-1.1356889584
3.0555337812,-0.8015197601
2.1796367547,-1.2891302471
2.9877053568,-0.6555328119
3.1262489342,-0.8933934759
2.1795667649,-1.2895707610
2.9797454305,-0.6578643682
2.8754850219,-0.9896919119
2.4738834910,-0.8990841993
2.1784692617,-1.1116255623
3.0711728661,-0.5860877387
2.8680762776,-0.9779603110
2.8749043722,-0.9741837386
2.8265291175,-0.6330466898
2.4568389411,-1.0311515109
2.6856987761,-1.0522791316
2.7305329184,-0.7059800145
3.1365890397,-0.5084890852
3.0974365798,-0.8494172167
2.1930032101,-1.2856727421
2.9986134284,-0.6456008137
2.4617479571,-1.0946127480
3.0813993835,-0.8518654612
2.1585964374,-1.2803560136
2.9785470200,-0.6632583824
2.6192956667,-1.1006860222
3.0882710002,-0.7668304304
2.9690954041,-0.9346293217
3.0370806753,-0.5815244554
3.0977021385,-0.8498703776
2.2074310670,-1.2832951013
3.0004272309,-0.6431836360
2.0855998049,-1.1720091708
2.9876195120,-0.6545644388
3.1371403029,-0.8905571653
2.2524079319,-1.2673821341
3.0388796862,-0.6121094377
2.5168511277,-1.0377826386
2.4391304253,-1.1847656230
3.0541569333,-0.7991130602
2.1987629175,-1.2855065386
2.9937935713,-0.6480080995
2.7427443195,-0.6989123430
3.0910730516,-0.5388117467
3.1120311364,-0.8998598181
2.1738136450,-1.2665624490
2.9873251142,-0.6533308486
3.0286432653,-0.8442091113
2.3197800280,-1.1375217641
3.0293901933,-0.8379486488
2.2845191536,-1.1651623933
3.1154322659,-0.5506730452
3.0734625052,-0.9039943533
2.3672644022,-1.0976333103
3.0642357956,-0.7885048137
2.3595111191,-1.2228585661
3.1357542329,-0.5371717033
2.6614595972,-0.9117455796
2.6095357975,-0.9536350677
2.3280860161,-1.0073772378
3.0418040982,-0.8208775097
2.1827523806,-1.2492815954
3.0102974454,-0.6373829568
3.0346009443,-0.8239714087
2.2095190404,-1.2225874486
3.0423575534,-0.6105477024
2.4466620869,-1.1333832173
3.0351059871,-0.8440542292
2.2854075193,-1.1652146743
3.1156710428,-0.5511810007
2.4343054263,-1.1245903141
3.0318131012,-0.8416891662
2.2830569801,-1.1654050785
3.1147106569,-0.5504076380
2.4554777650,-1.1011890960
3.0647150699,-0.8521233934
2.1924092600,-1.2401860484
3.0212361150,-0.6288984795
3.1023252058,-0.7539321084
2.5865547917,-0.8150577821
2.6831221431,-0.8928053870
2.7717389239,-1.0135134049
2.3353957089,-1.0027109600
3.0384715150,-0.8303326490
2.2280249228,-1.2097027521
3.0603251837,-0.5988724677
2.4807027767,-0.8917706182
2.9355754845,-0.9485399408
3.0813855255,-0.7696010983
2.7254312922,-1.0318717612
2.4300656913,-0.9316002371
2.6569085176,-0.7613543870
3.0336415505,-0.8470375090
2.3147455981,-1.1376662492
3.0344984457,-0.8314465976
2.2406958923,-1.1969967880
3.0762240810,-0.5847027036
3.0346270582,-0.9171896379
2.6717479814,-0.8611336999
2.9957854496,-0.5058875047
2.4424701912,-0.9233126976
3.0730942058,-0.7822431782
2.5697040894,-1.1229570172
3.0764694533,-0.7750743606
2.8669972460,-0.9949924795
2.8190487857,-0.9968811577
3.0658292497,-0.8513652737
2.1764565259,-1.2579489391
3.0011788585,-0.6460901833
2.4384082035,-1.1301161867
3.0328492343,-0.8409279498
2.2838049504,-1.1665453555
3.1138555532,-0.5526243028
2.9636901943,-0.5292864172
2.6766754069,-1.0571841456
2.4827691154,-1.0716765367
2.3040869257,-1.0221323960
3.0711904998,-0.7796893805
2.6362055989,-1.0952629355
3.0490462016,-0.8092306676
2.1586900071,-1.2837096395
2.9767668508,-0.6650502003
2.5419063490,-1.1367834576
3.0536027067,-0.8526487919
2.2293814950,-1.2111697841
3.0535075415,-0.5995022286
3.0514984644,-0.8518812510
2.2275818945,-1.2108141554
3.0591693916,-0.6004173826
3.0308060432,-0.8276238357
2.2429244804,-1.2007456044
3.0677371893,-0.5891634172
2.9578655204,-0.5325464569
3.0722895061,-0.8508681591
2.1634162655,-1.2739003470
2.9846232488,-0.6592422215
2.8633930655,-0.9933424657
2.4339586715,-0.9261865299
3.0763376051,-0.8492394506
2.1597967905,-1.2827423066
2.9777166189,-0.6649941893
2.5527466970,-1.1322998477
2.4425011764,-1.1306780640
3.0353635167,-0.8419860359
2.2757681689,-1.1675659401
3.1157272310,-0.5531603152
2.5989375350,-1.0882663912
2.5263879758,-0.8591502008
2.5617732978,-1.0005821824
2.7574983037,-0.8321269759
2.4107447749,-0.9456384648
3.0563895923,-0.8527580453
2.2191561286,-1.2202418975
3.0418158156,-0.6088735338
2.1307199035,-1.1438898683
3.0238400821,-0.6211914060
2.4454432509,-1.1030966020
3.0636136165,-0.8526897273
2.2038760532,-1.2314152746
3.0327878390,-0.6210591649
2.6953260198,-1.0478943211
3.1100874817,-0.8477845098
2.3268942973,-1.2371825902
3.1053463195,-0.5609118162
3.0425285900,-0.8087150911
2.1640150342,-1.2793906777
2.9748749355,-0.6619871865
2.6358064892,-1.0953605668
2.9223737651,-0.5629719318
3.0911351593,-0.8531405377
2.1622061336,-1.2895916809
2.9760053284,-0.6656782617
2.5167479411,-1.1484224525
3.1254888625,-0.8432114805
2.6964695022,-1.0683117573
2.0200811523,-1.2149685472
2.9259890154,-0.7021644898
2.2432015431,-1.1950334201
3.0789917384,-0.5824202303
3.0487358800,-0.9122290724
2.5607302369,-0.9469861294
2.8330176322,-0.7773798037
3.0397265763,-0.5785219210
2.5895672457,-0.8147895516
2.6989382931,-0.8835836624
2.6252392044,-0.7892958211
2.5007213794,-0.8810676404
2.4461815625,-1.1055336992
3.0522258323,-0.8497688537
2.2253532475,-1.2146868692
3.0489394115,-0.6031307747
3.0569093841,-0.8522109799
2.2101373362,-1.2268358894
3.0328071123,-0.6149138406
2.5366208851,-1.0188859007
3.0655289123,-0.8549296976
2.2015126203,-1.2329528441
3.0306179976,-0.6223271323
2.5432475635,-1.0104995139
2.7316765354,-0.7058710194
3.1375029519,-0.5039184833
3.0409524333,-0.8485147196
2.2903838600,-1.1586229567
3.1291613266,-0.5452052641
2.8744509344,-0.5991674314
2.1577347946,-1.2845069644
2.9762265432,-0.6641430293
2.5656499647,-1.1247110182
3.0976112059,-0.8468940233
2.2288056315,-1.2753455440
3.0196435481,-0.6256642524
2.8637354147,-0.9762710479
2.4378721854,-1.1272064991
3.0336864832,-0.8415856608
2.2853724928,-1.1658481670
3.1150488657,-0.5522006238
3.0983120076,-0.8497550310
2.1947308091,-1.2853673722
2.9996413132,-0.6454272169
2.8222985123,-0.9918063544
2.5739491897,-1.0953366277
3.0311454373,-0.8359900104
2.2766811775,-1.1677432989
3.1158680708,-0.5538536605
2.2682986614,-1.0470689444
2.4504542736,-1.1327462770
3.0386666771,-0.8447414511
2.2804653094,-1.1656165832
3.1191583163,-0.5521219839
2.7830689866,-0.6654944386
2.8209331088,-0.7477153382
2.9807660477,-0.6220571916
2.4616129945,-1.1326279571
3.0466400791,-0.8493360707
2.2556450712,-1.1906669270
3.0814348588,-0.5789217545
2.6178537632,-1.0799172628
2.2138698074,-1.0857178852
3.1095431869,-0.5533571736
2.1530112695,-1.1295159660
3.0450702688,-0.6065279033
2.5408404277,-0.8484470033
2.6507556517,-1.0640770018
2.8636881743,-0.7481364616
2.7835432030,-0.7762102315
3.1277895532,-0.7324380226
2.5243034943,-1.1130326897
2.4729572731,-1.0748045441
2.1705427390,-1.1136869868
3.0732831799,-0.5851694940
3.0690969596,-0.9047867797
2.3928933534,-1.0768687494
3.0319027085,-0.8367323372
2.2714885118,-1.1766628218
3.1000317525,-0.5635138837
3.0400484474,-0.8511735362
2.2854595922,-1.1642351627
3.1166317790,-0.5496077264
3.1327105866,-0.3983834978
3.0902918766,-0.7649158559
2.7083845711,-1.0434669592
2.4387974927,-1.1326690292
3.0311237076,-0.8410398198
2.2821119084,-1.1658496845
3.1194874811,-0.5532552447
2.5684803506,-0.9900303135
2.7480396124,-1.0248350931
2.6348647299,-0.7771758883
3.0861731912,-0.4350781886
3.0329560007,-0.8426329207
2.2984288561,-1.1561783344
3.1287423778,-0.5422868178
2.6321468035,-1.0722920777
2.5939854328,-1.0895471253
3.0595763324,-0.4555450512
2.4552583719,-1.1331146005
3.0411044754,-0.8467422447
2.2798424948,-1.1667467836
3.1178698043,-0.5536899445
2.4732625043,-1.1296562486
3.0666056345,-0.8495974742
2.1744005410,-1.2616815614
2.9911242133,-0.6479659645
2.7164308801,-0.8725060274
2.4461372995,-1.1154471451
3.0434909468,-0.8484057462
2.2724355902,-1.1723206878
3.1100804473,-0.5594061452
2.7427214826,-0.8479570950
2.5485377805,-0.8468237315
2.5414523917,-1.1100811352
2.6689435080,-0.7521681690
3.0395413282,-0.8198289343
2.1871751424,-1.2450561299
3.0153432038,-0.6334376024
2.0783112509,-1.1755687079
2.9818040499,-0.6573658744
2.8830469634,-0.9826780347
3.1270478867,-0.8452903627
2.6724388146,-1.0801284380
2.6277684443,-0.7837342885
2.6818358918,-1.0537486817
2.4823004977,-1.0687597130
2.4439139354,-1.1300702020
3.0367948968,-0.8424014246
2.2775818057,-1.1674825292
3.1164137993,-0.5538516748
3.0690226522,-0.8527199805
2.1810795423,-1.2572860927
2.9970717446,-0.6449686229
2.4486669945,-1.1083206145
3.0507036413,-0.8505470983
2.2387062930,-1.1985688595
3.0740809038,-0.5863427243
3.0543972393,-0.9103716925
2.5165866287,-0.9812798388
3.0990773635,-0.8518123507
2.1878136224,-1.2875713705
2.9934931579,-0.6516853783
3.0343860414,-0.8482132151
2.3172384969,-1.1358886373
3.0535658212,-0.8028197335
2.1701256679,-1.2905112349
2.9811174143,-0.6601600969
2.7768109398,-1.0285662866
2.4479516770,-1.0996716433
3.0709969449,-0.8526566406
2.1791884343,-1.2546413898
3.0047520293,-0.6429836967
3.0102469872,-0.4926296713
2.9711276433,-0.9380416267
3.0550776947,-0.5657348477
3.0051618136,-0.9245061480
2.8550667757,-0.7231565790
2.7434168445,-0.8061791726
3.0503606942,-0.8498577260
2.2432436340,-1.1959802937
3.0780332237,-0.5842430682
3.0034578979,-0.9224719450
2.8390387902,-0.7329379640
2.8472354454,-0.7236791155
2.7554946744,-0.7973581511
3.1142724011,-0.8460041776
2.3981638048,-1.2060836435
2.5215362694,-0.8648947257
2.8747030133,-0.5946908492
2.1697955127,-1.2890349629
2.9740410084,-0.6615548280
2.6444950789,-1.0903801016
2.4501389289,-1.1325121236
3.0387975204,-0.8445046666
2.2809689648,-1.1656181929
3.1193253842,-0.5523545712
3.1257576563,-0.7273464479
3.0253445861,-0.4848264161
3.1350670784,-0.8454170100
2.8607488165,-0.9931040987
3.0371244778,-0.8206786339
2.1916408782,-1.2390344299
3.0218956998,-0.6269810123
2.8343383731,-0.6299902877
2.4105423793,-1.0637186689
3.0459536698,-0.8490453916
2.2542077736,-1.1911229539
3.0805129116,-0.5790183949
2.7397612350,-1.0292727199
2.8505957741,-0.9853796263
2.4416130863,-1.1235474468
3.0374143215,-0.8439895343
2.2790419857,-1.1658999293
3.1184124107,-0.5519331384
2.9107527188,-0.9617405983
2.4450626604,-1.1335041296
3.0338693125,-0.8436272296
2.2835116378,-1.1655469930
3.1147219720,-0.5508545940
3.0584919822,-0.7920973296
2.2651735214,-1.2626064629
3.0497238670,-0.6041698871
3.0685746372,-0.8522613709
2.1781898110,-1.2590358994
2.9946052041,-0.6461062496
2.7779081348,-0.6688992693
2.8571145018,-0.7198418744
2.7029366840,-0.8351764564
3.0363022412,-0.8430500431
2.2783386294,-1.1715715482
3.1071945868,-0.5583541053
3.1034640610,-0.8479987061
2.2634290961,-1.2628311522
3.0488881132,-0.6038340033
3.0662339739,-0.8518218520
2.1792818069,-1.2562021587
2.9971742725,-0.6430726041
2.1444274484,-1.1361248363
3.0359271573,-0.6139444577
2.6022860062,-0.8040716421
2.4757282568,-1.1294417532
3.0692636424,-0.8500827980
2.1733481127,-1.2648411229
2.9884028214,-0.6511829836
3.1269095358,-0.7280995550
2.9003137869,-0.5764193281
2.5573871356,-1.1309326745
3.1403109759,-0.8457014625
3.0019528068,-0.9384845581
2.9257899595,-0.6684830362
2.1643027024,-1.2724331060
2.9861418364,-0.6574772984
2.9781003961,-0.9468516609
3.0532821627,-0.5712110797
2.8294623138,-0.6317659247
2.4327454410,-1.0443548741
3.1068848057,-0.8447633028
2.3372247821,-1.2310902676
3.1171137754,-0.5491882595
2.5306960782,-1.1112971451
3.0464594709,-0.9096655611
2.5479199286,-0.9602798953
2.7663654049,-1.0192693069
3.0807330739,-0.4371558229
3.0719420596,-0.8534657515
2.1789212913,-1.2551083428
3.0042923796,-0.6434687553
2.8958769337,-0.9645629323
2.3047284390,-1.0198333948
3.0657234898,-0.7845261023
2.4464527803,-1.1825363242
3.0487971133,-0.8085412411
2.1549806561,-1.2867313530
2.9736316875,-0.6653858328
2.5029053211,-1.1532517868
3.0911665914,-0.8468465181
2.1931684528,-1.2864273710
2.9971876247,-0.6496795386
2.5156494869,-1.1173676628
3.0908478306,-0.7581984085
2.9337898398,-0.9675820768
3.0548632262,-0.8513713556
2.2288453531,-1.2081376469
3.0619877833,-0.5968943485
3.0480125066,-0.4628596271
3.0880653227,-0.4325417879
3.0404407272,-0.8101753538
2.1623841969,-1.2765617039
2.9825225659,-0.6611457429
2.7481456618,-1.0432163816
2.4721177076,-1.1311870885
3.0583873848,-0.8515951482
2.2113067623,-1.2223814415
3.0431764541,-0.6110097064
3.0333413575,-0.4787975971
3.1161769278,-0.8494317611
2.3491780000,-1.2251546518
3.1345983490,-0.5413877232
2.7629460641,-0.8322051364
2.4534460186,-0.9137506467
3.0537527305,-0.8037598446
2.1683857639,-1.2903131259
2.9795632929,-0.6628901561
2.6463483826,-1.0884938521
2.5685977497,-0.9883571185
2.4608267021,-1.0949263035
3.0800778672,-0.8517096200
2.1584694504,-1.2789994334
2.9793036343,-0.6622448619
2.6649631750,-1.0794119386
2.6471845200,-0.7705998885
3.0639730984,-0.7843783324
2.4272526056,-1.1908011074
3.0857682592,-0.7686106588
3.0763949505,-0.7752889163
2.8549230316,-1.0001823777
2.3150714140,-1.0129858120
3.0475481514,-0.8057449906
2.1657160516,-1.2880285024
2.9714845783,-0.6648230045
2.5116800658,-1.1526865202
3.0998050061,-0.8490298138
2.2060873844,-1.2819222045
3.0087773139,-0.6383002336
2.6547965411,-0.7636088627
3.0444347807,-0.8524452470
2.2719790332,-1.1702725474
3.1118677155,-0.5558788630
2.4514746718,-1.1063397538
3.0548179389,-0.8514531800
2.2286115395,-1.2081698300
3.0618747734,-0.5968475099
3.0241954297,-0.4809643251
2.4084262630,-0.9468235303
2.5273942742,-1.1151951769
2.4880795823,-0.8889081193
3.0446181098,-0.8095258131
2.1542922469,-1.2809213852
2.9764015681,-0.6624759263
2.6349507189,-1.0971331643
2.0259399461,-1.2135029133
2.9220294702,-0.7031211069
2.2647168456,-1.1827774160
3.0920467732,-0.5700348220
2.5238825115,-1.1137741110
3.0617292656,-0.8517930334
2.1900164966,-1.2447093957
3.0166980136,-0.6340738011
3.0570918388,-0.7925305719
2.2533175845,-1.2668846618
3.0397900579,-0.6113106325
2.4517639146,-1.0964715561
3.0711465063,-0.8491406134
2.1644570319,-1.2735501602
2.9787087871,-0.6574573190
2.8752664328,-0.9888560501
3.0977969536,-0.8954978679
2.2045457166,-1.2297991605
3.0343522494,-0.6191405035
2.7428602538,-1.0255152653
2.5451855725,-1.0113756863
2.9950895344,-0.9296685813
2.9268076148,-0.6633499862
2.1639940728,-1.2855222968
2.9718380439,-0.6640689575
2.5368273126,-1.1407073500
2.5809232596,-1.0954393527
3.0282048598,-0.8346515238
2.2829506034,-1.1676386283
3.1125215040,-0.5540121800
2.5760576920,-1.0942235531
3.0328522654,-0.8468931630
2.3134264278,-1.1378583599
3.0335113075,-0.8311800254
2.2398064001,-1.1967951921
3.0760936682,-0.5840118642
3.0175202811,-0.9224026732
2.7880788214,-0.7705485513
3.1140851933,-0.7454200660
2.5417957109,-1.0155393298
3.1104531940,-0.8458861591
2.3712337053,-1.2161696224
3.0838544775,-0.8527821292
2.1593230968,-1.2819617813
2.9779395597,-0.6644558083
2.5722099372,-1.1230034848
3.0307227904,-0.8443628621
2.3126241216,-1.1383410142
3.0322310250,-0.8364827881
2.2663622648,-1.1747984580
3.1056897066,-0.5606642870
3.0428145421,-0.8100017825
2.1667177579,-1.2766742432
2.9776880417,-0.6606148074
2.7206677668,-1.0576729476
3.0594591451,-0.7927290134
2.2516227394,-1.2648472117
3.0481971028,-0.6063526160
2.4750928572,-1.1300433485
3.0656481278,-0.8509533088
2.1890147362,-1.2502231594
3.0056211882,-0.6389244881
2.5248418825,-1.0283597051
3.0530817449,-0.8032316831
2.1678204166,-1.2905022080
2.9793677147,-0.6623191035
2.6657225996,-1.0790330717
2.7651150506,-0.6812144358
2.9655109395,-0.6340010248
3.0652337670,-0.9169521929
2.4679516420,-1.0167813427
2.7400759338,-1.0279217077
2.9943870041,-0.5061223224
2.8093575178,-0.7912158165
3.1384390661,-0.5065776687
3.0561543330,-0.8518494725
2.2148309117,-1.2177249916
3.0484846870,-0.6055764223
3.0552787150,-0.8025461458
2.1761873390,-1.2897097698
2.9853873276,-0.6568464901
3.0072984889,-0.9343804341
2.8720829979,-0.7077040739
2.5617719548,-0.9442304605
2.4749582410,-1.0765799427
3.0299055737,-0.8449165780
2.3243819266,-1.1352814797
3.0433608356,-0.8112019866
2.1667722641,-1.2761150967
2.9780611985,-0.6601797813
2.7431858078,-1.0475414773
2.4518949745,-1.1335447232
3.0381155935,-0.8464159768
2.2729307038,-1.1739784752
3.1030722266,-0.5598316652
3.0507878420,-0.8078261144
2.1599542754,-1.2866438927
2.9759382643,-0.6661091298
2.5030013497,-1.1551180558
3.0833392866,-0.8494678910
2.1658909763,-1.2875931728
2.9716082432,-0.6653070023
2.4989587193,-1.1590090639
3.0672202783,-0.8519931483
2.1828190976,-1.2489184257
3.0105817658,-0.6370216443
3.0585464850,-0.7948723279
2.2274520152,-1.2743656267
3.0268471879,-0.6237910131
2.4897571534,-1.1258159100
3.0994181255,-0.8475121211
2.2310598910,-1.2753927393
