theta,omega
2.2306245315,-1.2111632638
3.0539642327,-0.5999920530
3.0469882489,-0.9101793963
2.5425328718,-0.9584822068
2.8096609846,-0.7932966500
3.1379173547,-0.7262394369
2.2961291778,-1.0271499957
3.0929997969,-0.7588784930
2.6856328952,-0.7394681825
2.5895556783,-1.0904465895
3.1232024938,-0.8487638332
2.4616357170,-1.1745909446
3.0330766345,-0.8334508275
2.2572465089,-1.1893164729
3.0832562428,-0.5774502431
2.0753295374,-1.1789249633
2.9778864389,-0.6615416453
2.6505425375,-1.0856851295
2.7650511264,-1.0158814927
2.8530667045,-0.7584363093
2.8860428435,-0.6990647102
2.4515609735,-1.0315566757
2.8492707596,-0.9848185750
2.4475629926,-1.1330774749
3.0363331643,-0.8439776139
2.2770351304,-1.1661179398
3.1175339637,-0.5513722200
2.8314882576,-0.6320422365
2.4350164198,-1.0444626531
3.1072552876,-0.8461270652
2.3144540144,-1.2420903387
3.0944802120,-0.5686961747
2.2442374831,-1.0645865612
3.1406826246,-0.5297697753
3.0285951457,-0.8396180714
2.2896711699,-1.1598644589
3.1222798402,-0.5443081362
2.4639612668,-1.1322049439
3.0495773553,-0.8498172892
2.2425528972,-1.2013132108
3.0670731844,-0.5899321279
2.4676873023,-1.0840081927
3.1142492531,-0.8461191767
2.3957219622,-1.2072304526
3.0664244805,-0.8532906303
2.1929078024,-1.2406520720
3.0210528033,-0.6297088982
2.3545444656,-0.9852013772
3.0468407195,-0.8489002305
2.2426835040,-1.1992730539
3.0689779438,-0.5868328620
2.5816143344,-1.0931298411
3.0480825289,-0.8537286198
2.2730353461,-1.1721084131
3.1104802502,-0.5593436208
2.0960099183,-1.1641907612
2.9988655062,-0.6436986962
2.0011790091,-1.2285956100
2.9075695969,-0.7186493619
2.4252765504,-1.0522315682
3.0767993913,-0.8499635366
2.1648137981,-1.2791923560
2.9752894923,-0.6622036436
2.6325390087,-1.0973015206
2.4966699325,-1.0520364140
2.0735256358,-1.1837141418
2.9661227146,-0.6688529146
2.3592067411,-1.2230541270
3.1353191892,-0.5377285812
2.4905936821,-1.1252981044
3.1037952876,-0.8463638454
2.2781940776,-1.2569909365
3.0619092005,-0.5937752020
2.5608184968,-0.9987832515
2.4872117628,-1.1278049440
3.0849285677,-0.8512998353
2.1571630553,-1.2864397319
2.9746889574,-0.6659031733
2.4975732860,-1.1567472345
3.0735034318,-0.8495496771
2.1646474286,-1.2757756624
2.9773368056,-0.6594895066
2.7632220547,-1.0376045415
2.7776693285,-0.8195017054
3.1107984964,-0.8463053113
2.3483923765,-1.2280366094
3.1250135699,-0.5459079486
2.4750536105,-1.1307323768
3.0621312692,-0.8520472416
2.2012174098,-1.2320918322
3.0312197709,-0.6210074940
2.5030760134,-1.1224265875
3.1324106226,-0.8435270840
2.8479317858,-0.9975019765
2.9806724384,-0.5155061256
3.0549054419,-0.8532396668
2.2321723518,-1.2102514102
3.0553303898,-0.5992582596
3.0853339284,-0.7700101813
3.0428414693,-0.8065024861
2.1613244407,-1.2838652441
2.9712077910,-0.6639347732
2.5345787860,-1.1412839399
2.7358424443,-1.0293199748
3.0296133174,-0.8308579692
2.2519499429,-1.1913253672
3.0795552904,-0.5783219463
2.6569161018,-1.0624622242
2.6110464292,-0.7986248690
2.8925190698,-0.9684041833
3.1054917656,-0.7520314934
2.4453811763,-1.1312074679
3.0369491724,-0.8427951425
2.2782069067,-1.1669272468
3.1171526466,-0.5532301097
3.0726148279,-0.8532615523
2.1666747902,-1.2637495600
2.9929758042,-0.6497133848
2.6507620490,-0.9215434796
2.7266840653,-0.8586551517
2.5695381644,-0.8287578523
2.8080613156,-0.7949419354
2.7490934348,-0.8411076056
3.0364442542,-0.8242361037
2.2093342093,-1.2243432104
3.0407924216,-0.6130188310
2.9521269362,-0.5362566363
2.5058563570,-1.1199866299
2.9847613183,-0.5107693322
3.1395972220,-0.8404444608
3.0382820945,-0.9138364172
2.6190042054,-0.8999188607
2.8373053274,-0.6226111258
2.3323926180,-1.1258490983
2.7018271422,-0.8797247837
2.9656785136,-0.5284335778
2.4425561490,-1.1096522707
3.0451540768,-0.8486291167
2.2500500803,-1.1932585745
3.0770891167,-0.5805850902
3.0699791551,-0.9017595525
2.3653402792,-1.1027654052
3.0895809854,-0.7692289913
3.0403397918,-0.8518046089
2.3041834818,-1.1468291394
2.5156919443,-1.1178771853
2.9533545357,-0.9423296761
3.1250350183,-0.5174657882
2.8935212657,-0.5831668810
2.3190230770,-1.2368541643
3.1085907677,-0.5595754794
3.0761206075,-0.8525294325
2.1692614873,-1.2729549537
2.9811112575,-0.6582298590
2.8722131427,-0.9925933411
2.7549248823,-0.8373878374
2.7662315844,-1.0160057640
2.0715991858,-1.1792923270
2.9758028055,-0.6617826149
2.6185368374,-1.0992569860
2.6661178991,-0.9127051244
2.5945427530,-0.9711620807
2.5848142932,-1.0927311025
3.0494483820,-0.8518694133
2.2389807523,-1.2017120123
3.0654444122,-0.5890534014
3.0460204457,-0.8524466072
2.2672039774,-1.1803439224
3.0950746671,-0.5675690369
2.0508725713,-1.1944346400
2.9551356581,-0.6785956082
2.1859071513,-1.2872462502
2.9931999181,-0.6499021062
3.0606371211,-0.8549458925
2.2193241249,-1.2168726535
3.0508718755,-0.6061099174
3.0671776689,-0.9001288558
2.3568970707,-1.1067133580
3.1017166642,-0.7543509434
2.4570787362,-0.9102928836
3.0304775700,-0.8454114318
2.3222565203,-1.1367590710
3.0311722627,-0.8328776127
2.2614126958,-1.1853326432
3.0884126207,-0.5729490940
2.4956872695,-0.8813677124
2.7103739332,-1.0382371349
2.7849385878,-1.0107172393
2.9296186801,-0.9554954917
3.0400258115,-0.8451887588
2.2802354626,-1.1667079096
3.1180397740,-0.5538024849
2.4515488623,-1.1335026734
3.0378717839,-0.8462744516
2.2751213003,-1.1724955583
3.1052280470,-0.5584083151
3.0328099883,-0.8488770716
2.3071909497,-1.1456260570
2.4432369800,-1.1304782666
3.0360159925,-0.8422034526
2.2766346887,-1.1674808431
3.1160983134,-0.5534167239
2.4451634916,-1.1337187033
3.0419361728,-0.8471971555
2.2799386451,-1.1671229033
3.1175434334,-0.5543489337
3.0523748931,-0.9098569729
2.5180938434,-0.9789212025
3.0404965057,-0.8488104686
2.2777021032,-1.1658386366
3.1180202676,-0.5512297491
3.0357429014,-0.8499158719
2.3117403798,-1.1447506124
2.4583431712,-1.1330920928
3.0430483465,-0.8483603173
2.2641991265,-1.1770452163
3.1028256946,-0.5633523933
3.0286018232,-0.8370395220
2.2961350650,-1.1579020563
3.1263139633,-0.5440627514
3.0638766048,-0.8545202005
2.2011567328,-1.2318212814
3.0314192279,-0.6206115667
2.8212853259,-0.9943255301
